,Made Donation in March 2007
659,0.85
276,0.1
263,0.08002521139514678
303,0.2
83,0.0
500,1.0
530,0.1933333333333333
244,0.0
249,0.1
728,0.0
129,0.8
534,0.0
317,0.2
401,0.08002521139514678
696,0.4
192,0.19282661782661784
176,0.0
571,0.6
139,0.1
423,0.2
563,1.0
56,0.3333333333333333
528,0.6
101,0.08002521139514678
467,0.1
382,0.1
466,0.4870238095238095
294,0.0
512,0.1
659,0.85
389,0.1
487,0.3
701,0.18535646180669066
419,0.2
536,0.0
240,0.0
508,0.0
515,0.0
283,0.0
650,0.08002521139514678
65,0.40130952380952384
228,0.6
741,0.0
297,0.0
464,0.1
63,0.18535646180669066
231,0.2833333333333333
28,0.0
248,0.0
357,0.1
300,0.5
726,0.7
680,0.2
520,0.7
254,0.0
582,0.38
143,0.2
98,1.0
1,0.0
221,0.3
352,0.08002521139514678
64,0.075
138,0.3
745,0.8
64,0.075
688,0.0
623,0.0
289,0.1
174,0.6
690,0.08002521139514678
105,0.2
427,0.2
48,0.0
14,0.08002521139514678
657,0.0
301,0.0
455,0.2
579,0.2
722,0.0
98,1.0
491,0.0
303,0.2
466,0.4870238095238095
65,0.40130952380952384
300,0.5
9,0.10702012424989944
622,0.19282661782661784
323,0.0
289,0.1
568,0.0
290,0.08002521139514678
156,0.5
464,0.1
426,0.0
306,0.1
4,0.3
12,0.2
187,0.2
406,0.1
96,0.1933333333333333
509,0.18535646180669066
733,0.0
548,0.0
478,0.6
501,0.0
127,0.5395238095238095
199,0.1
299,0.8
162,0.08002521139514678
235,0.1
23,0.0
473,0.08002521139514678
487,0.3
683,0.9
303,0.2
309,0.0
569,0.09760281385281386
34,0.6
686,0.7
84,0.0
733,0.0
537,0.6071428571428571
181,0.0
453,0.1
67,0.5
161,0.3
307,0.0
703,0.04285714285714286
181,0.0
246,0.16607142857142856
316,0.1
278,0.19282661782661784
346,0.3
545,0.08002521139514678
419,0.2
694,0.1933333333333333
622,0.19282661782661784
663,0.3
262,0.5
461,0.3
373,0.6
233,0.08002521139514678
466,0.4870238095238095
207,0.2
263,0.08002521139514678
16,0.09760281385281386
513,0.0
449,0.2
429,0.0
701,0.18535646180669066
632,0.05
529,0.3071428571428571
245,0.1
344,0.3
353,0.3
241,0.5
633,0.0
624,0.18535646180669066
726,0.7
189,0.19282661782661784
138,0.3
402,0.0
511,0.15
590,0.2
334,0.2
447,0.0
119,0.4870238095238095
389,0.1
644,0.08002521139514678
423,0.2
131,0.09760281385281386
405,0.0
82,0.08002521139514678
643,0.8
156,0.5
617,0.0
574,0.4
272,0.2
613,0.0
545,0.08002521139514678
685,0.0
570,0.0
537,0.6071428571428571
691,0.0
85,0.6
483,0.16607142857142856
455,0.2
93,0.19282661782661784
744,0.18535646180669066
33,0.16607142857142856
321,0.9
523,0.3
426,0.0
196,0.325
301,0.0
103,0.0
224,0.0
454,0.05
585,0.0
154,0.1
