,Made Donation in March 2007
659,0.47538212420574555
276,0.184558810300491
263,0.1706448352812708
303,0.25785968942231535
83,0.5210468470029077
500,0.563602535515426
530,0.17164918747410643
244,0.09776537871488236
249,0.08645833071649031
728,0.13276428656444655
129,0.12453255039957087
534,0.1633219637518037
317,0.3803815738040585
401,0.1706448352812708
696,0.27047739611815674
192,0.11994869007310512
176,0.1901509155636489
571,0.3760024878022914
139,0.1577298584886458
423,0.2694853959567007
563,0.5210468470029077
56,0.40111577517069924
528,0.40111577517069924
101,0.1706448352812708
467,0.211820297932399
382,0.3977090437085832
466,0.2299001347077906
294,0.09776537871488236
512,0.20601227460105834
659,0.47538212420574555
389,0.4388942915454991
487,0.14341107541986273
701,0.1706448352812708
419,0.3700343857068704
536,0.15866279667312272
240,0.19858490447572547
508,0.2212385929145722
515,0.09776537871488236
283,0.40111577517069924
650,0.1706448352812708
65,0.2299001347077906
228,0.1901509155636489
741,0.14900318068302063
297,0.45970926657316413
464,0.10372379431916134
63,0.1706448352812708
231,0.27047739611815674
28,0.10372379431916134
248,0.09776537871488236
357,0.1901509155636489
300,0.4534977398213612
726,0.48144998005801753
680,0.14283063198124604
520,0.40111577517069924
254,0.08809838131257267
582,0.19946812309856565
143,0.4388942915454991
98,0.36859737223840006
1,0.3217517190966571
221,0.4388942915454991
352,0.1706448352812708
64,0.09369048657573056
138,0.24219902142566627
745,0.4388942915454991
64,0.09369048657573056
688,0.09369048657573056
623,0.13276428656444655
289,0.18969446657531477
174,0.3291674670448569
690,0.1706448352812708
105,0.1901509155636489
427,0.14283063198124604
48,0.08177383207540205
14,0.1706448352812708
657,0.11406027576302935
301,0.1633219637518037
455,0.10372379431916134
579,0.3977090437085832
722,0.14283063198124604
98,0.36859737223840006
491,0.08177383207540205
303,0.25785968942231535
466,0.2299001347077906
65,0.2299001347077906
300,0.4534977398213612
9,0.09217327345172446
622,0.11994869007310512
323,0.09369048657573056
289,0.18969446657531477
568,0.3217517190966571
290,0.1706448352812708
156,0.1527780025164162
464,0.10372379431916134
426,0.10408992795205294
306,0.23054951256239448
4,0.25785968942231535
12,0.36859737223840006
187,0.22677829995848658
406,0.14341107541986273
96,0.17164918747410643
509,0.1706448352812708
733,0.1531847319431136
548,0.09124754696173831
478,0.26423940845853766
501,0.10408992795205294
127,0.3217517190966571
199,0.2225967486983936
299,0.4919607197364007
162,0.1706448352812708
235,0.1072390936012186
23,0.1109740700463181
473,0.1706448352812708
487,0.14341107541986273
683,0.4479507959281338
303,0.25785968942231535
309,0.09967384178245545
569,0.08177383207540205
34,0.40111577517069924
686,0.5210468470029077
84,0.21281229809385507
733,0.1531847319431136
537,0.4617365991659918
181,0.14283063198124604
453,0.48144998005801753
67,0.47538212420574555
161,0.4388942915454991
307,0.3866129812375255
703,0.12095304226594072
181,0.14283063198124604
246,0.10408992795205294
316,0.38096344257787157
278,0.11994869007310512
346,0.12453255039957087
545,0.1706448352812708
419,0.3700343857068704
694,0.17164918747410643
622,0.11994869007310512
663,0.11249305842716613
262,0.5210468470029077
461,0.4388942915454991
373,0.48144998005801753
233,0.1706448352812708
466,0.2299001347077906
207,0.4388942915454991
263,0.1706448352812708
16,0.08177383207540205
513,0.09124754696173831
449,0.36859737223840006
429,0.08960749636565596
701,0.1706448352812708
632,0.09652467613328979
529,0.5210468470029077
245,0.23054951256239448
344,0.1901509155636489
353,0.1072390936012186
241,0.29860754122178546
633,0.09776537871488236
624,0.1706448352812708
726,0.48144998005801753
189,0.11994869007310512
138,0.24219902142566627
402,0.09776537871488236
511,0.40111577517069924
590,0.2637095594908247
334,0.22024659275311614
447,0.09938115288890684
119,0.2299001347077906
389,0.4388942915454991
644,0.1706448352812708
423,0.2694853959567007
131,0.08177383207540205
405,0.09020012689611918
82,0.1706448352812708
643,0.48144998005801753
156,0.1527780025164162
617,0.09124754696173831
574,0.22890813454633455
272,0.4388942915454991
613,0.09623198723974118
545,0.1706448352812708
685,0.09776537871488236
570,0.1901509155636489
537,0.4617365991659918
691,0.09776537871488236
85,0.4388942915454991
483,0.10408992795205294
455,0.10372379431916134
93,0.11994869007310512
744,0.1706448352812708
33,0.10408992795205294
321,0.4960534283338796
523,0.14753298646232305
426,0.10408992795205294
196,0.09369048657573056
301,0.1633219637518037
103,0.09776537871488236
224,0.08809838131257267
454,0.17005601636731732
585,0.08809838131257267
154,0.3977090437085832
